test_set,blur_size,noise_level,accuracy,f1,precision_immune,precision_other,precision_stromal,precision_tumour,recall_immune,recall_other,recall_stromal,recall_tumour,f1_immune,f1_other,f1_stromal,f1_tumour,confusion_matrix,confidence_overall,confidence_immune_avg,confidence_other_avg,confidence_stromal_avg,confidence_tumour_avg,confidence_immune_std,confidence_other_std,confidence_stromal_std,confidence_tumour_std,count_pred_immune,count_pred_other,count_pred_stromal,count_pred_tumour
1,0,0,0.62175,0.6128088604360901,0.7320754716981132,0.5738636363636364,0.626937984496124,0.5813478556841388,0.582,0.404,0.647,0.854,0.6484679665738161,0.47417840375586856,0.6368110236220472,0.6917780477926286,"[[582, 106, 114, 198], [96, 404, 236, 264], [66, 134, 647, 153], [51, 60, 35, 854]]",0.5253306,0.59996605,0.44389197,0.55990875,0.49967584,0.17388405,0.087554015,0.13593625,0.12550816,795,704,1032,1469
1,1,0,0.61425,0.6042627513195526,0.7280701754385965,0.5566860465116279,0.626232741617357,0.572,0.581,0.383,0.635,0.858,0.646273637374861,0.4537914691943128,0.6305858987090367,0.6864,"[[581, 109, 112, 198], [97, 383, 237, 283], [68, 136, 635, 161], [52, 60, 30, 858]]",0.5248346,0.5991998,0.44324386,0.558072,0.500227,0.17232819,0.08632801,0.13694367,0.12583756,798,688,1014,1500
1,3,0,0.59425,0.5814390380119341,0.7471751412429378,0.5252679938744257,0.6065259117082533,0.5466499686912962,0.529,0.343,0.632,0.873,0.6194379391100703,0.4150030248033878,0.6190009794319294,0.6723142087023488,"[[529, 116, 119, 236], [85, 343, 256, 316], [64, 132, 632, 172], [30, 62, 35, 873]]",0.521698,0.58895886,0.44032973,0.5633745,0.4979572,0.16503236,0.085832775,0.13507724,0.124535315,708,653,1042,1597
1,5,0,0.56325,0.545711728488888,0.765993265993266,0.48580968280467446,0.5715579710144928,0.5143863769817968,0.455,0.291,0.631,0.876,0.5708908406524467,0.36397748592870544,0.5998098859315589,0.6481687014428413,"[[455, 118, 146, 281], [72, 291, 286, 351], [51, 123, 631, 195], [16, 67, 41, 876]]",0.5206145,0.5717498,0.44225076,0.5642813,0.502034,0.15509652,0.08620316,0.13540334,0.123674124,594,599,1104,1703
1,7,0,0.543,0.52086299406004,0.7861507128309573,0.4686411149825784,0.5472508591065293,0.4968944099378882,0.386,0.269,0.637,0.88,0.5177733065057009,0.3418043202033037,0.588724584103512,0.6351497654276435,"[[386, 137, 160, 317], [54, 269, 311, 366], [41, 114, 637, 208], [10, 54, 56, 880]]",0.52037364,0.5481825,0.44298762,0.5682423,0.50628346,0.14030883,0.08322342,0.13565072,0.12412169,491,574,1164,1771
1,9,0,0.52525,0.49644797253931044,0.8046511627906977,0.42395437262357416,0.5232744783306581,0.489432703003337,0.346,0.223,0.652,0.88,0.48391608391608393,0.29226736566186107,0.5805877114870882,0.6290207290922087,"[[346, 139, 185, 330], [49, 223, 348, 380], [29, 111, 652, 208], [6, 53, 61, 880]]",0.5196298,0.5247921,0.44189394,0.5705134,0.5058746,0.12724173,0.0827055,0.13539803,0.124180146,430,526,1246,1798
1,19,0,0.498,0.4585670122424881,0.8319783197831978,0.3787878787878788,0.4656084656084656,0.4822983168891468,0.307,0.15,0.704,0.831,0.44850255661066474,0.2148997134670487,0.5605095541401274,0.6103562247521116,"[[307, 109, 258, 326], [38, 150, 444, 368], [18, 80, 704, 198], [6, 57, 106, 831]]",0.51336443,0.48000205,0.42544818,0.5714877,0.48970973,0.10347169,0.07317177,0.13928334,0.12164096,369,396,1512,1723
1,0,1,0.61425,0.604026852297741,0.7163814180929096,0.5665680473372781,0.624380574826561,0.5731462925851704,0.586,0.383,0.63,0.858,0.6446644664466447,0.45704057279236276,0.627177700348432,0.6872246696035242,"[[586, 105, 115, 194], [101, 383, 233, 283], [74, 134, 630, 162], [57, 54, 31, 858]]",0.5248209,0.6008682,0.4433545,0.5558822,0.4991188,0.17341658,0.08518028,0.13678429,0.12633216,818,676,1009,1497
1,1,1,0.6105,0.6001392682969994,0.7125603864734299,0.5567010309278351,0.6262729124236253,0.5684976836532097,0.59,0.378,0.615,0.859,0.6455142231947484,0.4502680166765932,0.62058526740666,0.684189565909996,"[[590, 107, 109, 194], [102, 378, 228, 292], [78, 141, 615, 166], [58, 53, 30, 859]]",0.52380097,0.5976111,0.43992716,0.55647624,0.49980903,0.17359833,0.08610576,0.13569546,0.12585752,828,679,982,1511
1,3,1,0.5915,0.5782194300787821,0.7350543478260869,0.5220125786163522,0.6092066601371204,0.5420037336652147,0.541,0.332,0.622,0.871,0.6232718894009217,0.4058679706601467,0.615536862939139,0.6682009973149213,"[[541, 113, 117, 229], [89, 332, 250, 329], [69, 131, 622, 178], [37, 60, 32, 871]]",0.5221463,0.5891027,0.43984687,0.5601252,0.4999223,0.16550252,0.084461085,0.13557036,0.12463366,736,636,1021,1607
1,5,1,0.5605,0.542787024862564,0.754071661237785,0.4773109243697479,0.5762394761459307,0.5104529616724739,0.463,0.284,0.616,0.879,0.573729863692689,0.3561128526645768,0.5954567423876269,0.6458486407053637,"[[463, 118, 141, 278], [73, 284, 277, 366], [55, 130, 616, 199], [23, 63, 35, 879]]",0.5208677,0.5744711,0.44008675,0.563644,0.5031118,0.15499675,0.083745115,0.13480495,0.12455624,614,595,1069,1722
1,7,1,0.5395,0.5169137625629229,0.7790927021696252,0.45309734513274336,0.549645390070922,0.49277777777777776,0.395,0.256,0.62,0.887,0.5242203052422031,0.3271565495207668,0.5827067669172933,0.6335714285714286,"[[395, 134, 154, 317], [58, 256, 308, 378], [41, 121, 620, 218], [13, 54, 46, 887]]",0.51972884,0.5515924,0.43984163,0.56745684,0.5059201,0.13815689,0.08238546,0.1348771,0.12557063,507,565,1128,1800
1,9,1,0.522,0.4933269710939062,0.7933333333333333,0.4111969111969112,0.5239669421487604,0.48518111964873767,0.357,0.213,0.634,0.884,0.4924137931034483,0.28063241106719367,0.5737556561085972,0.6265060240963856,"[[357, 137, 179, 327], [53, 213, 340, 394], [32, 117, 634, 217], [8, 51, 57, 884]]",0.51890785,0.5271557,0.44016197,0.568578,0.50627214,0.12797606,0.08108945,0.13551071,0.12606552,450,518,1210,1822
1,19,1,0.50125,0.46152832649138503,0.8229166666666666,0.3880208333333333,0.47127222982216144,0.4807909604519774,0.316,0.149,0.689,0.851,0.45664739884393063,0.2153179190751445,0.5597075548334687,0.6144404332129964,"[[316, 105, 246, 333], [40, 149, 435, 376], [21, 80, 689, 210], [7, 50, 92, 851]]",0.5118485,0.4834386,0.42464495,0.56942904,0.48936996,0.10424765,0.071678415,0.1388609,0.123763874,384,384,1462,1770
1,0,3,0.61425,0.6042535088884372,0.7153284671532847,0.5678466076696165,0.6240079365079365,0.5730563002680965,0.588,0.385,0.629,0.855,0.6454445664105378,0.45887961859356374,0.6264940239043825,0.6861958266452648,"[[588, 103, 115, 194], [102, 385, 232, 281], [74, 135, 629, 162], [58, 55, 32, 855]]",0.5244503,0.5999276,0.44256663,0.5554135,0.49915814,0.17332432,0.0853681,0.13701905,0.1262208,822,678,1008,1492
1,1,3,0.6105,0.6000302024699777,0.7127272727272728,0.5567010309278351,0.625,0.5694444444444444,0.588,0.378,0.615,0.861,0.6443835616438356,0.4502680166765932,0.6199596774193549,0.6855095541401274,"[[588, 107, 110, 195], [102, 378, 229, 291], [80, 140, 615, 165], [55, 54, 30, 861]]",0.52364016,0.59915054,0.43909037,0.5555493,0.49964187,0.17277578,0.08644025,0.1358723,0.12586388,825,679,984,1512
1,3,3,0.592,0.5787364784056401,0.7320703653585927,0.5243328100470958,0.6100196463654224,0.5429638854296388,0.541,0.334,0.621,0.872,0.6221966647498562,0.40806353084911423,0.6154608523290387,0.6692248656945511,"[[541, 112, 117, 230], [92, 334, 247, 327], [70, 132, 621, 177], [36, 59, 33, 872]]",0.5222223,0.588701,0.44062045,0.56023955,0.4999004,0.16604824,0.0843239,0.13579088,0.12480613,739,637,1018,1606
